session_id,outcome,color
12101799,4,T
12101800,8,CT
12101801,10,CT
12101802,1,T
12101803,9,CT
12101804,13,CT
12101805,10,CT
12101806,10,CT
12101807,1,T
12101808,0,Bonus
12101809,7,T
12101810,12,CT
12101811,1,T
12101812,5,T
12101813,11,CT
12101814,10,CT
12101815,13,CT
12101816,10,CT
12101817,4,T
12101818,14,CT
12101819,14,CT
12101820,8,CT
12101821,8,CT
12101822,7,T
12101823,6,T
12101824,8,CT
12101825,10,CT
12101826,0,Bonus
12101827,4,T
12101828,3,T
12101829,3,T
12101830,3,T
12101831,8,CT
12101832,2,T
12101833,0,Bonus
12101834,7,T
12101835,3,T
12101836,7,T
12101837,5,T
12101838,10,CT
12101839,3,T
12101840,1,T
12101841,2,T
12101842,2,T
12101843,13,CT
12101844,7,T
12101845,11,CT
12101846,2,T
12101847,7,T
12101848,6,T
12101849,12,CT
12101850,14,CT
12101851,8,CT
12101852,0,Bonus
12101853,3,T
12101854,0,Bonus
12101855,9,CT
12101856,12,CT
12101857,6,T
12101858,1,T
12101859,4,T
12101860,14,CT
12101861,0,Bonus
12101862,1,T
12101863,13,CT
12101864,9,CT
12101865,2,T
12101866,10,CT
12101867,7,T
12101868,11,CT
12101869,2,T
12101870,14,CT
12101871,12,CT
12101872,1,T
12101873,3,T
12101874,14,CT
12101875,14,CT
12101876,10,CT
12101877,14,CT
12101878,13,CT
12101879,4,T
12101880,11,CT
12101881,4,T
12101882,9,CT
12101883,12,CT
12101884,5,T
12101885,1,T
12101886,6,T
12101887,8,CT
12101888,5,T
12101889,7,T
12101890,8,CT
12101891,6,T
12101892,7,T
12101893,6,T
12101894,4,T
12101895,8,CT
12101896,3,T
12101897,3,T
12101898,11,CT
12101899,8,CT
12101900,9,CT
12101901,14,CT
12101902,10,CT
12101903,9,CT
12101904,12,CT
12101905,8,CT
12101906,2,T
12101907,9,CT
12101908,11,CT
12101909,6,T
12101910,2,T
12101911,2,T
12101912,10,CT
12101913,2,T
12101914,3,T
12101915,14,CT
12101916,8,CT
12101917,6,T
12101918,6,T
12101919,8,CT
12101920,9,CT
12101921,3,T
12101922,9,CT
12101923,3,T
12101924,5,T
12101925,9,CT
12101926,2,T
12101927,8,CT
12101928,14,CT
12101929,9,CT
12101930,4,T
12101931,12,CT
12101932,4,T
12101933,9,CT
12101934,9,CT
12101935,2,T
12101936,5,T
12101937,11,CT
12101938,7,T
12101939,5,T
12101940,12,CT
12101941,0,Bonus
12101942,2,T
12101943,4,T
12101944,3,T
12101945,10,CT
12101946,12,CT
12101947,1,T
12101948,11,CT
12101949,14,CT
12101950,11,CT
12101951,8,CT
12101952,5,T
12101953,6,T
12101954,12,CT
12101955,12,CT
12101956,9,CT
12101957,3,T
12101958,6,T
12101959,8,CT
12101960,7,T
12101961,14,CT
12101962,2,T
12101963,11,CT
12101964,10,CT
12101965,14,CT
12101966,12,CT
12101967,1,T
12101968,6,T
12101969,10,CT
12101970,3,T
12101971,8,CT
12101972,3,T
12101973,6,T
12101974,12,CT
12101975,7,T
12101976,6,T
12101977,4,T
12101978,11,CT
12101979,13,CT
12101980,9,CT
12101981,11,CT
12101982,11,CT
12101983,13,CT
12101984,5,T
12101985,4,T
12101986,0,Bonus
12101987,14,CT
12101988,0,Bonus
12101989,4,T
12101990,2,T
12101991,11,CT
12101992,10,CT
12101993,13,CT
12101994,13,CT
12101995,7,T
12101996,9,CT
12101997,6,T
12101998,6,T
12101999,13,CT
12102000,1,T
12102001,10,CT
12102002,6,T
12102003,12,CT
12102004,7,T
12102005,10,CT
12102006,14,CT
12102007,5,T
12102008,8,CT
12102009,2,T
12102010,12,CT
12102011,13,CT
12102012,6,T
12102013,12,CT
12102014,11,CT
12102015,12,CT
12102016,4,T
12102017,4,T
12102018,8,CT
12102019,9,CT
12102020,7,T
12102021,12,CT
12102022,11,CT
12102023,10,CT
12102024,0,Bonus
12102025,7,T
12102026,4,T
12102027,9,CT
12102028,13,CT
12102029,2,T
12102030,10,CT
12102031,8,CT
12102032,4,T
12102033,10,CT
12102034,9,CT
12102035,5,T
12102036,8,CT
12102037,11,CT
12102038,0,Bonus
12102039,10,CT
